1	В	в	S	S	Sp-a	17	обст
2	течение	течение	N	N	Ncnsan	1	предл
3	последнего	последний	A	A	Afpmsgf	4	опред
4	года	год	N	N	Ncmsgn	2	атриб
5	инфекционные	инфекционный	A	A	Afpmpnf	6	опред
6	заболевания	заболевание	N	N	Ncnpnn	2	сочин
7	,	,	,	,	,	6	PUNC
8	чрезмерные	чрезмерный	A	A	Afpmpnf	12	опред
9	физические	физический	A	A	Afpmpnf	12	опред
10	и	и	C	C	C	9	сочин
11	психо-эмоциональные	психо-эмоциональный	A	A	Afpmpnf	10	соч-союзн
12	нагрузки	нагрузка	N	N	Ncfpnn	6	сочин
13	,	,	,	,	,	12	PUNC
14	употребление	употребление	N	N	Ncnsnn	12	сочин
15	токсических	токсический	A	A	Afpmpgf	16	опред
16	веществ	вещество	N	N	Ncnpgn	14	1-компл
17	отрицает	отрицать	V	V	Vmip3s-a-p	0	ROOT
