1	Сегодня	сегодня	R	R	R	5	обст
2	с	с	S	S	Sp-i	5	обст
3	вышеописанными	вышеописанный	A	A	Afpmpif	4	опред
4	жалобами	жалоба	N	N	Ncfpin	2	предл
5	обратился	обратиться	V	V	Vmis-smm-e	0	ROOT
6	в	в	S	S	Sp-a	5	1-компл
7	НИИПЗ	ниипз	N	N	Npmsnn	6	предл
8	,	,	,	,	,	7	PUNC
9	откуда	откуда	P	P	P-----r	12	обст
10	бригадой	бригада	N	N	Ncfsin	12	обст
11	СМП	смп	N	N	Ncmsnn	12	предик
12	доставлен	доставить	V	V	Vmps-smpse	5	изъясн
13	в	в	S	S	Sp-l	12	2-компл
14	НИИ	нии	N	N	Npmsln	13	предл
15	Кардиологии	кардиология	N	N	Npfsgn	14	1-компл
16	.	.	-	-	-	15	PUNC
